GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
48,2017-01-20,7:00 PM,@,Boston Bruins,1,0,W,,29,14,5,W 2,,22,4,0,3,0,,30,6,0,2,0,17565,2:20,
49,2017-01-22,7:30 PM,,Vancouver Canucks,4,2,W,,30,14,5,W 3,,35,6,0,1,0,,28,2,1,3,0,21689,2:35,
50,2017-01-24,8:30 PM,,Tampa Bay Lightning,2,5,L,,30,15,5,L 1,,36,4,0,3,0,,36,16,0,2,0,21617,2:30,
51,2017-01-26,8:30 PM,,Winnipeg Jets,3,5,L,,30,16,5,L 2,,41,10,1,5,0,,33,10,1,5,0,21746,2:23,
52,2017-01-31,10:30 PM,@,San Jose Sharks,1,3,L,,30,17,5,L 3,,25,6,0,3,0,,29,6,1,3,0,17424,2:23,
53,2017-02-02,9:00 PM,@,Arizona Coyotes,4,3,W,,31,17,5,W 1,,26,19,2,4,0,,27,27,1,5,0,17125,2:33,
54,2017-02-04,8:00 PM,@,Dallas Stars,5,3,W,,32,17,5,W 2,,36,11,1,2,0,,34,9,0,3,0,18532,2:27,
55,2017-02-08,8:00 PM,@,Minnesota Wild,4,3,W,OT,33,17,5,W 3,,32,6,1,2,0,,38,6,0,2,0,19326,2:42,
56,2017-02-10,8:00 PM,@,Winnipeg Jets,5,2,W,,34,17,5,W 4,,36,6,0,2,1,,30,4,1,3,0,15294,2:27,
57,2017-02-11,10:00 PM,@,Edmonton Oilers,5,1,W,,35,17,5,W 5,,25,19,2,2,0,,31,29,0,2,0,18347,2:19,
58,2017-02-18,7:00 PM,,Edmonton Oilers,1,3,L,,35,18,5,L 1,,39,19,0,3,0,,22,11,1,2,0,22075,2:23,
59,2017-02-19,6:00 PM,@,Buffalo Sabres,5,1,W,,36,18,5,W 1,,37,8,0,3,0,,26,6,0,4,0,19070,2:22,
60,2017-02-21,8:00 PM,@,Minnesota Wild,5,3,W,,37,18,5,W 2,,39,4,0,2,0,,32,4,2,2,0,19333,2:29,
61,2017-02-23,8:30 PM,,Arizona Coyotes,6,3,W,,38,18,5,W 3,,29,8,0,2,0,,37,4,0,4,0,21781,2:31,
62,2017-02-26,7:30 PM,,St. Louis Blues,4,2,W,,39,18,5,W 4,,42,4,1,2,0,,32,4,1,2,0,21961,2:19,
63,2017-03-01,8:00 PM,,Pittsburgh Penguins,4,1,W,,40,18,5,W 5,,29,0,0,1,0,,37,2,0,0,0,22012,2:22,
64,2017-03-03,8:30 PM,,New York Islanders,2,1,W,SO,41,18,5,W 6,,31,6,0,2,0,,32,4,0,3,0,21883,2:32,
65,2017-03-04,8:00 PM,@,Nashville Predators,5,3,W,,42,18,5,W 7,,33,7,2,2,0,,35,9,0,1,0,17297,2:24,
66,2017-03-09,8:30 PM,,Anaheim Ducks,0,1,L,,42,19,5,L 1,,43,11,0,2,0,,26,21,0,2,0,21838,2:38,
67,2017-03-10,7:30 PM,@,Detroit Red Wings,2,4,L,,42,20,5,L 2,,26,23,0,2,0,,29,11,0,3,0,20027,2:36,
68,2017-03-12,12:30 PM,,Minnesota Wild,4,2,W,,43,20,5,W 1,,22,2,0,3,0,,44,6,0,1,0,22147,2:27,
69,2017-03-14,7:30 PM,@,Montreal Canadiens,4,2,W,,44,20,5,W 2,,24,4,0,1,0,,42,2,0,2,0,21288,2:35,
70,2017-03-16,7:30 PM,@,Ottawa Senators,2,1,W,,45,20,5,W 3,,28,10,1,4,0,,34,10,1,4,0,18638,2:29,
71,2017-03-18,7:00 PM,@,Toronto Maple Leafs,2,1,W,OT,46,20,5,W 4,,39,2,0,0,0,,26,0,0,1,0,19505,2:36,
72,2017-03-19,7:00 PM,,Colorado Avalanche,6,3,W,,47,20,5,W 5,,34,0,0,1,0,,25,2,0,0,0,22070,2:29,
73,2017-03-21,8:30 PM,,Vancouver Canucks,4,5,L,OT,47,20,6,L 1,,44,4,2,6,0,,15,10,1,2,0,21607,2:42,
74,2017-03-23,8:30 PM,,Dallas Stars,3,2,W,SO,48,20,6,W 1,,26,11,1,4,0,,44,13,0,3,0,21798,2:40,
75,2017-03-25,7:00 PM,@,Florida Panthers,0,7,L,,48,21,6,L 1,,25,34,0,3,0,,31,30,1,5,0,18625,2:31,
76,2017-03-27,7:30 PM,@,Tampa Bay Lightning,4,5,L,OT,48,21,7,L 2,,32,6,0,3,0,,30,6,2,3,0,19092,2:32,
77,2017-03-29,8:00 PM,@,Pittsburgh Penguins,5,1,W,,49,21,7,W 1,,36,4,0,4,0,,32,8,0,2,0,18657,2:28,
78,2017-03-31,8:30 PM,,Columbus Blue Jackets,3,1,W,,50,21,7,W 2,,24,10,1,3,0,,33,8,0,4,0,22112,2:21,
79,2017-04-02,12:30 PM,,Boston Bruins,2,3,L,,50,22,7,L 1,,43,2,0,3,0,,29,6,1,1,0,22131,2:36,
80,2017-04-04,9:00 PM,@,Colorado Avalanche,3,4,L,OT,50,22,8,L 2,,27,8,1,3,0,,51,6,0,4,2,16203,2:33,
81,2017-04-06,10:00 PM,@,Anaheim Ducks,0,4,L,,50,23,8,L 3,,37,8,0,3,0,,26,16,1,3,0,16462,2:28,
82,2017-04-08,6:00 PM,@,Los Angeles Kings,2,3,L,OT,50,23,9,L 4,,27,4,0,3,0,,26,6,1,2,0,18230,2:31,
